Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,Instructor,Capacity,Room,Mtg Start,Mtg End,Days,Start Date,End Date,Term,Campus,Class Nbr,Total Credits,DUP,FULL,OVER
MTH, 154,01W,LEC,1,3,3,22,24,"Maule,Amanda Lynne",24,204,2:00:00 PM,3:15:00 PM,MW,1/9/2023,5/6/2023,2232,HT,24387,66,,,
MTH, 154,02H,LEC,1,3,3,23,24,"Filsinger,Michael D",30,156,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24003,69,,,
MTH, 154,20H,LEC,1,3,3,22,24,"Filsinger,Michael D",40,139,8:00:00 AM,9:15:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,23972,66,,,
MTH, 154,20W,LEC,1,3,3,22,24,"Kelso,Elizabeth Ann",24,203,2:00:00 PM,3:15:00 PM,TR,1/9/2023,5/6/2023,2232,HT,24009,66,,,
MTH, 154,21H,LEC,1,3,3,24,24,"Filsinger,Michael D",30,156,12:30:00 PM,1:45:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,24006,72,,FULL,
MTH, 154,22H,LEC,1,3,3,9,24,"Varbalow,Julia Lynne",25,428,4:00:00 PM,5:15:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23980,27,,,
MTH, 154,41S,LEC,8W1,3,3,6,24,"Townes,Anthony Whitney",25,SEC,5:30:00 PM,8:15:00 PM,MW,1/9/2023,3/4/2023,2232,MAIN,43007,18,,,
MTH, 154,42S,LEC,8W2,3,3,1,24,"Townes,Anthony Whitney",25,SEC,5:30:00 PM,8:15:00 PM,MW,3/13/2023,5/6/2023,2232,MAIN,43009,3,,,
MTH, 154,B01H,LEC,12W,3,3,3,28,"Indika,S H Sathish",48,131,8:00:00 AM,9:15:00 AM,MW,2/7/2023,5/8/2023,2232,MAIN,40729,9,,,
MTH, 154,BG1H,LEC,1,3,3,3,24,"Feygelson,Rimma",32,311,3:00:00 PM,4:15:00 PM,W,1/9/2023,5/6/2023,2232,MAIN,38989,9,,,
MTH, 154,D01,DED,1,3,3,28,28,"Feygelson,Rimma",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24007,84,,FULL,
MTH, 154,D02,DED,1,3,3,28,28,"Feygelson,Rimma",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24008,84,,FULL,
MTH, 154,D03,DED,1,3,3,28,28,"Feygelson,Rimma",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24258,84,,FULL,
MTH, 154,D04,DED,12W,3,3,10,28,"Feygelson,Rimma",30,TUAL,,,,2/7/2023,5/8/2023,2232,MAIN,24083,30,,,
MTH, 154,D05,DED,12W,3,3,28,28,"Hewitt,Shauna Lynn",30,TUAL,,,,2/7/2023,5/8/2023,2232,MAIN,24130,84,,FULL,
MTH, 154,D06,DED,8W1,3,3,28,28,"Maule,Amanda Lynne",30,TUAL,,,,1/9/2023,3/4/2023,2232,MAIN,24280,84,,FULL,
MTH, 154,D07,DED,8W2,3,3,15,28,"Maule,Amanda Lynne",30,TUAL,,,,3/13/2023,5/6/2023,2232,MAIN,24617,45,,,
MTH, 154,D08,DED,8W2,3,3,11,28,"Hewitt,Shauna Lynn",30,TUAL,,,,3/13/2023,5/6/2023,2232,MAIN,38988,33,,,
MTH, 154,DG01,DED,1,3,3,8,24,"Feygelson,Rimma",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24518,24,,,
MTH, 154,DRG1,DED,1,3,3,7,24,"Feygelson,Rimma",30,TUAL,3:00:00 PM,4:15:00 PM,W,1/9/2023,5/6/2023,2232,MAIN,38990,21,,,
MTH, 154,G20W,LEC,1,3,3,7,24,"Maule,Amanda Lynne",24,202,12:30:00 PM,1:45:00 PM,TR,1/9/2023,5/6/2023,2232,HT,24004,21,,,
MTH, 154,G50H,LEC,1,3,3,12,24,"Townes,Anthony Whitney",40,134,7:00:00 PM,8:15:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,24005,36,,,
MTH, 155,20H,LEC,1,3,3,28,28,"Schmidt,Amy D",30,156,9:30:00 AM,10:45:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,23782,84,,FULL,
MTH, 155,D01,DED,1,3,3,28,28,"Schmidt,Amy D",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23823,84,,FULL,
MTH, 155,D02,DED,8W1,3,3,20,28,"Schmidt,Amy D",30,TUAL,,,,1/9/2023,3/4/2023,2232,MAIN,24138,60,,,
MTH, 155,D03,DED,8W2,3,3,6,28,"Schmidt,Amy D",30,TUAL,,,,3/13/2023,5/6/2023,2232,MAIN,24622,18,,,
